member_name,member_role,portfolio,lead_supporting_services,official_college_url,official_responsibilities_url,last_verified
Ursula von der Leyen,President,President of the European Commission,SG; LS; DG COMM; Policy Planning Staff,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Teresa Ribera,Executive Vice-President,"Clean, Just and Competitive Transition",DG COMP,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Henna Virkkunen,Executive Vice-President,"Tech Sovereignty, Security and Democracy",DG CNECT; DG DIGIT,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Stéphane Séjourné,Executive Vice-President,Prosperity and Industrial Strategy,DG GROW,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Kaja Kallas,High Representative / Vice-President,Foreign Affairs and Security Policy,EEAS; FPI,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Roxana Mînzatu,Executive Vice-President,"Social Rights and Skills, Quality Jobs and Preparedness",DG EAC; DG EMPL,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Raffaele Fitto,Executive Vice-President,Cohesion and Reforms,DG REGIO,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Maroš Šefčovič,Commissioner,Trade and Economic Security; Interinstitutional Relations and Transparency,DG TRADE; DG TAXUD; Publications Office,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Valdis Dombrovskis,Commissioner,Economy and Productivity; Implementation and Simplification,DG ECFIN; Eurostat,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
Dubravka Šuica,Commissioner,Mediterranean,DG MENA,https://commission.europa.eu/about/organisation/college-commissioners_en,https://commission.europa.eu/document/download/d618729a-a089-41e8-b4b6-093f73729af8_en?filename=Organisation+of+responsibilities+of+the+Members+of+the+Commission.PDF,2026-04-21
