unit_code,unit_name,unit_type,department_page_url,public_surface_type,press_contacts_url,public_question_url,public_email,public_phone,last_verified,notes
AGRI,Agriculture and Rural Development,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/agriculture-and-rural-development_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact/write-to-us_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
BUDG,Budget,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/budget_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
CLIMA,Climate Action,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/climate-action_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://climate.ec.europa.eu/contact-us_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
COMM,Communication,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/communication_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
CNECT,"Communications Networks, Content and Technology",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/communications-networks-content-and-technology_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://digital-strategy.ec.europa.eu/en/write-us,,00 800 6 7 8 9 10 11,2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
COMP,Competition,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/competition_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page.
DPO,Data Protection Officer,Service,https://commission.europa.eu/about/departments-and-executive-agencies/data-protection-officer_en,dg_press_contacts_link,https://commission.europa.eu/about/contact/press-services/press-contacts/commissions-spokespersons-service_en,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Service rather than DG. Press contacts link is public but not visibly filtered on-page.
DEFIS,Defence Industry and Space,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/defence-industry-and-space_en,no_public_press_surface_found,,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,No public press-contacts link found on the department page.
DIGIT,Digital Services,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/digital-services_en,no_public_press_surface_found,,,,+32 2 299 11 11 (Commission switchboard),2026-04-21,No public press-contacts link found on the department page.
ECFIN,Economic and Financial Affairs,Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/economic-and-financial-affairs_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
EAC,"Education, Youth, Sport and Culture",Directorate-general,https://commission.europa.eu/about/departments-and-executive-agencies/education-youth-sport-and-culture_en,dg_press_contacts_link,https://commission.europa.eu/about-european-commission/contact/press-services/press-contacts/commission-spokespersons-service_en,https://europa.eu/european-union/contact_en,,+32 2 299 11 11 (Commission switchboard),2026-04-21,Press contacts link is public but not visibly filtered on-page. Public question or write-to-us route also published.
