project_group,group_role,member_name,member_portfolio,decision_date,official_decision_url,last_verified
Artificial Intelligence,chair,Henna Virkkunen,"Tech Sovereignty, Security and Democracy",2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Olivér Várhelyi,Health and Animal Welfare,2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Andrius Kubilius,Defence and Space,2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Artificial Intelligence,member,Michael McGrath,"Democracy, Justice, the Rule of Law and Consumer Protection",2025-01-07,https://commission.europa.eu/document/download/d03aa6ba-9708-4bac-919f-95e0d4942b9b_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Artificial+Intelligence.pdf,2026-04-21
Affordable Housing,member,Teresa Ribera,"Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
Affordable Housing,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/8d0173c6-8c41-4032-8eaf-8c73a57b11b1_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Affordable+Housing.pdf,2026-04-21
