organization,category,contact_scope,audience,focus,public_contact_type,public_contact,public_phone,public_page,notes,source_url,last_verified
European Digital Rights (EDRi),digital_rights_network,press,"journalists; civil society","EU digital rights advocacy and coalition work",email,press@edri.org,+32 2 274 25 70,https://edri.org/what-we-do/press-and-media/,"Official media route on EDRi press page",https://edri.org/what-we-do/press-and-media/,2026-04-23
Access Now,digital_rights_org,help,"citizens; activists; journalists","Digital rights advocacy and digital security support",email,help@accessnow.org,,https://www.accessnow.org/help/,"Digital Security Helpline route published by Access Now",https://www.accessnow.org/help/,2026-04-23
Access Now,digital_rights_org,general,"citizens; civil society","Digital rights advocacy and policy engagement",email,info@accessnow.org,,https://www.accessnow.org/contact-us/,"General public contact route",https://www.accessnow.org/contact-us/,2026-04-23
BEUC,consumer_rights_org,press,journalists,"EU consumer advocacy on digital and consumer policy",email,press@beuc.eu,+32 2 743 15 90,https://www.beuc.eu/contact,"Press contact published on BEUC contact page",https://www.beuc.eu/contact,2026-04-23
BEUC,consumer_rights_org,consumer_route,"citizens; consumer groups","Consumer policy and consumer-organisation coordination",email,consumers@beuc.eu,+32 2 743 15 90,https://www.beuc.eu/contact,"Public consumer-facing route on BEUC contact page",https://www.beuc.eu/contact,2026-04-23
Civil Liberties Union for Europe (Liberties),civil_liberties_org,general,"citizens; civil society","Civil liberties and rule-of-law advocacy including digital-rights topics",contact_page,https://www.liberties.eu/en/about/contacts,,https://www.liberties.eu/en/about/contacts,"Current contact page was usable, but this pass did not surface a direct public email",https://www.liberties.eu/en/about/contacts,2026-04-23
AlgorithmWatch,digital_rights_org,press,"journalists; civil society","Algorithmic accountability, AI, and platform governance",email,media@algorithmwatch.org,+49 (0)30 99 40 49 001,https://algorithmwatch.org/en/press/,"Official media route on press page",https://algorithmwatch.org/en/press/,2026-04-23
AlgorithmWatch,digital_rights_org,general,"citizens; civil society","Algorithmic accountability, AI, and platform governance",email,info@algorithmwatch.org,,https://algorithmwatch.org/en/contact/,"General contact route on official site",https://algorithmwatch.org/en/contact/,2026-04-23
noyb,digital_rights_org,media,journalists,"Privacy, data protection, and strategic GDPR enforcement",email,media@noyb.eu,+43 660 2678622,https://noyb.eu/en/media-center,"Official media center contact",https://noyb.eu/en/media-center,2026-04-23
noyb,digital_rights_org,general,citizens,"Privacy, data protection, and strategic GDPR enforcement",email,info@noyb.eu,+43 660 2678622,https://noyb.eu/en/media-center,"General mailbox also published on media center page",https://noyb.eu/en/media-center,2026-04-23
epicenter.works,digital_rights_org,press,"journalists; civil society","Digital rights, surveillance, and communications freedom",email,press@epicenter.works,+43 670 404 98 89,https://epicenter.works/en/press,"Official press route",https://epicenter.works/en/press,2026-04-23
European Federation of Journalists (EFJ),journalism_support_org,secretariat,"journalists; unions; civil society","Journalist rights, media freedom, and professional advocacy",email,secretariat@europeanjournalists.org,+32 2 235 22 00,https://europeanjournalists.org/about-efj/contact/,"Public federation secretariat route",https://europeanjournalists.org/about-efj/contact/,2026-04-23
European Centre for Press and Media Freedom (ECPMF),journalism_support_org,general,"journalists; civil society","Press-freedom monitoring and support",email,info@ecpmf.eu,+49 (0) 172 367 499 0,https://www.ecpmf.eu/about-ecpmf/contact/,"General organisational route",https://www.ecpmf.eu/about-ecpmf/contact/,2026-04-23
European Centre for Press and Media Freedom (ECPMF),journalism_support_org,support,journalists,"Support for journalists at risk or in exile",email,support@ecpmf.eu,,https://pressprotect.ecpmf.eu/fund/support-for-exiled-journalists/,"Specialised support route for journalists in exile",https://pressprotect.ecpmf.eu/fund/support-for-exiled-journalists/,2026-04-23
Reporters Without Borders (RSF),journalism_support_org,assistance,journalists,"Emergency assistance and press-freedom support",email,assistance2@rsf.org,,https://rsf.org/en/contact-us,"Assistance mailbox published on official contact page",https://rsf.org/en/contact-us,2026-04-23
EUobserver,newsroom,newsroom,"citizens; journalists; sources","Independent EU affairs newsroom",email,contact@euobserver.com,,https://euobserver.com/about-us/,"General editorial and community route",https://euobserver.com/about-us/,2026-04-23
EUobserver,newsroom,secure_tip,sources,"Independent EU affairs newsroom",email,euobserver@proton.me,,https://euobserver.com/about-us/,"Secure source route published on about page",https://euobserver.com/about-us/,2026-04-23
POLITICO Europe,newsroom,editorial,"citizens; readers; journalists","EU policy and politics newsroom",email,editorial@politico.eu,,https://www.politico.eu/contact-us/,"Central editorial route",https://www.politico.eu/contact-us/,2026-04-23
POLITICO Europe,newsroom,letters,"citizens; readers","Opinion and letters to the editor",email,letters@politico.eu,,https://www.politico.eu/contact-us/,"Reader and opinion route",https://www.politico.eu/contact-us/,2026-04-23
