member_name,country_or_label,listed_website,source_url,last_verified
Albanian Women’s Empowerment Network,Albania,http://awenetwork.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Österreichischer Frauenring,Austria,http://www.frauenring.at,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Business and Professional Women Europe,Belgium,http://www.bpw-europe.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Conseil Des Femmes Francophones de Belgique,Belgium,http://www.cffb.be,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Confederation of Independent Trade Unions,Belgium,http://www.cesi.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Disability Forum,Belgium,http://www.edf-feph.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Federation of Parents and Carers at Home,Belgium,http://www.fefaf.be,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Network of Migrant Women,Belgium,http://www.migrantwomennetwork.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Trade Union Confederation,Belgium,http://www.etuc.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
International Federation of Women in Legal Careers,Belgium,https://www.fifcj-ifwlc.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Bulgarian Platform of the EWL,Bulgaria,https://womenlobbybulgaria.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Women’s Network Croatia,Croatia,https://www.zenska-mreza.hr,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Cyprus Women’s Lobby,Cyprus,http://www.facebook.com/pg/WomenLobbyCY/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Czech Women’s Lobby,Czech Republic,http://www.czlobby.cz/en,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Women’s Council in Denmark,Denmark,http://www.kvinderaadet.dk,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
Estonian Women’s Associations Roundtable,Estonia,http://www.enu.ee,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
NYTKIS - The Coalition of Finnish Women’s Associations,Finland,http://www.nytkis.org/en,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Blind Union,France,http://www.euroblind.org,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Centre of the International Council of Women,France,http://www.icw-cif.com,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
European Council of WIZO Federations,France,http://www.ecwf.online,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
French Coordination for the European Women’s Lobby,France,http://www.clef-femmes.fr,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
International Council of Jewish Women,France,http://www.icjw.org/,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
University Women of Europe,France,http://www.uweboard.wordpress.com,https://womenlobby.org/members/membership/?jsf=jet-engine&tax=member-category:2493,2026-04-24
