committee_code,role,mep_name,email,role_tag,source_url,last_verified
AFCO,chair,Sven SIMON,sven.simon@europarl.europa.eu,afco_chair,https://www.europarl.europa.eu/committees/en/afco/home/members,2026-04-24
AFCO,vice_chair,Gabriele BISCHOFF,gabriele.bischoff@europarl.europa.eu,afco_vice_chair,https://www.europarl.europa.eu/committees/en/afco/home/members,2026-04-24
AFCO,vice_chair,Adrián VÁZQUEZ LÁZARA,adrian.vazquez@europarl.europa.eu,afco_vice_chair,https://www.europarl.europa.eu/committees/en/afco/home/members,2026-04-24
AFCO,vice_chair,Charles GOERENS,charles.goerens@europarl.europa.eu,afco_vice_chair,https://www.europarl.europa.eu/committees/en/afco/home/members,2026-04-24
AFCO,vice_chair,Péter MAGYAR,peter.magyar@europarl.europa.eu,afco_vice_chair,https://www.europarl.europa.eu/committees/en/afco/home/members,2026-04-24
AFET,chair,David MCALLISTER,david.mcallister@europarl.europa.eu,afet_chair,https://www.europarl.europa.eu/committees/en/afet/home/members,2026-04-24
AFET,vice_chair,Hana JALLOUL MURO,hana.jalloul@europarl.europa.eu,afet_vice_chair,https://www.europarl.europa.eu/committees/en/afet/home/members,2026-04-24
AFET,vice_chair,Urmas PAET,urmas.paet@europarl.europa.eu,afet_vice_chair,https://www.europarl.europa.eu/committees/en/afet/home/members,2026-04-24
AFET,vice_chair,Alberico GAMBINO,alberico.gambino@europarl.europa.eu,afet_vice_chair,https://www.europarl.europa.eu/committees/en/afet/home/members,2026-04-24
AFET,vice_chair,Ioan-Rareş BOGDAN,ioanrares.bogdan@europarl.europa.eu,afet_vice_chair,https://www.europarl.europa.eu/committees/en/afet/home/members,2026-04-24
AGRI,chair,Veronika VRECIONOVÁ,veronika.vrecionova@europarl.europa.eu,agri_chair,https://www.europarl.europa.eu/committees/en/agri/home/members,2026-04-24
AGRI,vice_chair,Daniel BUDA,daniel.buda@europarl.europa.eu,agri_vice_chair,https://www.europarl.europa.eu/committees/en/agri/home/members,2026-04-24
AGRI,vice_chair,Norbert LINS,norbert.lins@europarl.europa.eu,agri_vice_chair,https://www.europarl.europa.eu/committees/en/agri/home/members,2026-04-24
AGRI,vice_chair,Eric SARGIACOMO,eric.sargiacomo@europarl.europa.eu,agri_vice_chair,https://www.europarl.europa.eu/committees/en/agri/home/members,2026-04-24
AGRI,vice_chair,Krzysztof HETMAN,krzysztof.hetman@europarl.europa.eu,agri_vice_chair,https://www.europarl.europa.eu/committees/en/agri/home/members,2026-04-24
BUDG,chair,Johan VAN OVERTVELDT,johan.vanovertveldt@europarl.europa.eu,budg_chair,https://www.europarl.europa.eu/committees/en/budg/home/members,2026-04-24
BUDG,vice_chair,Monika HOHLMEIER,monika.hohlmeier@europarl.europa.eu,budg_vice_chair,https://www.europarl.europa.eu/committees/en/budg/home/members,2026-04-24
BUDG,vice_chair,Giuseppe LUPO,giuseppe.lupo@europarl.europa.eu,budg_vice_chair,https://www.europarl.europa.eu/committees/en/budg/home/members,2026-04-24
BUDG,vice_chair,Janusz LEWANDOWSKI,janusz.lewandowski@europarl.europa.eu,budg_vice_chair,https://www.europarl.europa.eu/committees/en/budg/home/members,2026-04-24
BUDG,vice_chair,Lucia YAR,lucia.yar@europarl.europa.eu,budg_vice_chair,https://www.europarl.europa.eu/committees/en/budg/home/members,2026-04-24
CONT,chair,Andreas SCHWAB,andreas.schwab@europarl.europa.eu,cont_chair,https://www.europarl.europa.eu/committees/en/cont/home/members,2026-04-24
CONT,vice_chair,Caterina CHINNICI,caterina.chinnici@europarl.europa.eu,cont_vice_chair,https://www.europarl.europa.eu/committees/en/cont/home/members,2026-04-24
CONT,vice_chair,Cristian TERHEȘ,cristian.terhes@europarl.europa.eu,cont_vice_chair,https://www.europarl.europa.eu/committees/en/cont/home/members,2026-04-24
CONT,vice_chair,Claudiu MANDA,claudiu.manda@europarl.europa.eu,cont_vice_chair,https://www.europarl.europa.eu/committees/en/cont/home/members,2026-04-24
CONT,vice_chair,Jacek PROTAS,jacek.protas@europarl.europa.eu,cont_vice_chair,https://www.europarl.europa.eu/committees/en/cont/home/members,2026-04-24
CULT,chair,Nela RIEHL,nela.riehl@europarl.europa.eu,cult_chair,https://www.europarl.europa.eu/committees/en/cult/home/members,2026-04-24
CULT,vice_chair,Bogdan Andrzej ZDROJEWSKI,bogdan.zdrojewski@europarl.europa.eu,cult_vice_chair,https://www.europarl.europa.eu/committees/en/cult/home/members,2026-04-24
CULT,vice_chair,Emma RAFOWICZ,emma.rafowicz@europarl.europa.eu,cult_vice_chair,https://www.europarl.europa.eu/committees/en/cult/home/members,2026-04-24
CULT,vice_chair,Diana RIBA I GINER,diana.ribaiginer@europarl.europa.eu,cult_vice_chair,https://www.europarl.europa.eu/committees/en/cult/home/members,2026-04-24
CULT,vice_chair,Hristo PETROV,hristo.petrov@europarl.europa.eu,cult_vice_chair,https://www.europarl.europa.eu/committees/en/cult/home/members,2026-04-24
DEVE,chair,Barry ANDREWS,barry.andrews@europarl.europa.eu,deve_chair,https://www.europarl.europa.eu/committees/en/deve/home/members,2026-04-24
DEVE,vice_chair,Isabella LÖVIN,isabella.lovin@europarl.europa.eu,deve_vice_chair,https://www.europarl.europa.eu/committees/en/deve/home/members,2026-04-24
DEVE,vice_chair,Hildegard BENTELE,hildegard.bentele@europarl.europa.eu,deve_vice_chair,https://www.europarl.europa.eu/committees/en/deve/home/members,2026-04-24
DEVE,vice_chair,Abir AL-SAHLANI,abir.al-sahlani@europarl.europa.eu,deve_vice_chair,https://www.europarl.europa.eu/committees/en/deve/home/members,2026-04-24
DEVE,vice_chair,Robert BIEDROŃ,robert.biedron@europarl.europa.eu,deve_vice_chair,https://www.europarl.europa.eu/committees/en/deve/home/members,2026-04-24
DROI,chair,Mounir SATOURI,mounir.satouri@europarl.europa.eu,droi_chair,https://www.europarl.europa.eu/committees/en/droi/home/members,2026-04-24
DROI,vice_chair,Marta TEMIDO,marta.temido@europarl.europa.eu,droi_vice_chair,https://www.europarl.europa.eu/committees/en/droi/home/members,2026-04-24
DROI,vice_chair,Łukasz KOHUT,lukasz.kohut@europarl.europa.eu,droi_vice_chair,https://www.europarl.europa.eu/committees/en/droi/home/members,2026-04-24
DROI,vice_chair,Isabel SERRA SÁNCHEZ,isabel.serrasanchez@europarl.europa.eu,droi_vice_chair,https://www.europarl.europa.eu/committees/en/droi/home/members,2026-04-24
DROI,vice_chair,Arkadiusz MULARCZYK,arkadiusz.mularczyk@europarl.europa.eu,droi_vice_chair,https://www.europarl.europa.eu/committees/en/droi/home/members,2026-04-24
ECON,chair,Aurore LALUCQ,aurore.lalucq@europarl.europa.eu,econ_chair,https://www.europarl.europa.eu/committees/en/econ/home/members,2026-04-24
ECON,vice_chair,Damian BOESELAGER,damian.boeselager@europarl.europa.eu,econ_vice_chair,https://www.europarl.europa.eu/committees/en/econ/home/members,2026-04-24
ECON,vice_chair,Ľudovít ÓDOR,ludovit.odor@europarl.europa.eu,econ_vice_chair,https://www.europarl.europa.eu/committees/en/econ/home/members,2026-04-24
ECON,vice_chair,Luděk NIEDERMAYER,ludek.niedermayer@europarl.europa.eu,econ_vice_chair,https://www.europarl.europa.eu/committees/en/econ/home/members,2026-04-24
ECON,vice_chair,Marlena MALĄG,marlena.malag@europarl.europa.eu,econ_vice_chair,https://www.europarl.europa.eu/committees/en/econ/home/members,2026-04-24
EMPL,chair,Li ANDERSSON,li.andersson@europarl.europa.eu,empl_chair,https://www.europarl.europa.eu/committees/en/empl/home/members,2026-04-24
EMPL,vice_chair,Johan DANIELSSON,johan.danielsson@europarl.europa.eu,empl_vice_chair,https://www.europarl.europa.eu/committees/en/empl/home/members,2026-04-24
EMPL,vice_chair,Jagna MARCZUŁAJTIS-WALCZAK,jagna.marczulajtis@europarl.europa.eu,empl_vice_chair,https://www.europarl.europa.eu/committees/en/empl/home/members,2026-04-24
EMPL,vice_chair,Katrin LANGENSIEPEN,katrin.langensiepen@europarl.europa.eu,empl_vice_chair,https://www.europarl.europa.eu/committees/en/empl/home/members,2026-04-24
EMPL,vice_chair,Georgiana TEODORESCU,georgiana.teodorescu@europarl.europa.eu,empl_vice_chair,https://www.europarl.europa.eu/committees/en/empl/home/members,2026-04-24
ENVI,chair,Pierfrancesco MARAN,pierfrancesco.maran@europarl.europa.eu,envi_chair,https://www.europarl.europa.eu/committees/en/envi/home/members,2026-04-24
ENVI,vice_chair,Esther HERRANZ GARCÍA,esther.herranzgarcia@europarl.europa.eu,envi_vice_chair,https://www.europarl.europa.eu/committees/en/envi/home/members,2026-04-24
ENVI,vice_chair,Pietro FIOCCHI,pietro.fiocchi@europarl.europa.eu,envi_vice_chair,https://www.europarl.europa.eu/committees/en/envi/home/members,2026-04-24
ENVI,vice_chair,Anja HAZEKAMP,anja.hazekamp@europarl.europa.eu,envi_vice_chair,https://www.europarl.europa.eu/committees/en/envi/home/members,2026-04-24
ENVI,vice_chair,András Tivadar KULJA,andrastivadar.kulja@europarl.europa.eu,envi_vice_chair,https://www.europarl.europa.eu/committees/en/envi/home/members,2026-04-24
EUDS,chair,Nathalie LOISEAU,nathalie.loiseau@europarl.europa.eu,euds_chair,https://www.europarl.europa.eu/committees/en/euds/home/members,2026-04-24
