mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Mika AALTOLA,Finland,EPP,mika.aaltola@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security policy,AFET,2024-12-15,,
Maravillas ABADÍA JOVER,Spain,EPP,maravillas.abadiajover@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,,
Magdalena ADAMOWICZ,Poland,EPP,magdalena.adamowicz@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Rule of law,LIBE,2024-12-15,,
Georgios AFTIAS,Greece,EPP,georgios.aftias@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,,
Oihane AGIRREGOITIA MARTÍNEZ,Spain,Renew,oihane.agirregoitiamartinez@europarl.europa.eu,N/A,N/A,N/A,Industry; Research,ITRE,2024-12-15,,
Peter AGIUS,Malta,EPP,peter.agius@europarl.europa.eu,N/A,N/A,N/A,Internal market; Consumer protection,IMCO,2024-12-15,,
Alex AGIUS SALIBA,Malta,S&D,alex.agiussaliba@europarl.europa.eu,N/A,N/A,N/A,Internal market; Digital services; Consumer protection,IMCO,2024-12-15,,
Galato ALEXANDRAKI,Greece,ECR,galato.alexandraki@europarl.europa.eu,N/A,N/A,N/A,Agriculture,AGRI,2024-12-15,,
Grégory ALLIONE,France,Renew,gregory.allione@europarl.europa.eu,N/A,N/A,N/A,Civil protection,ENVI,2024-12-15,,
Abir AL-SAHLANI,Sweden,Renew,abir.al-sahlani@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Migration,LIBE,2024-12-15,,
Nikolaos ANADIOTIS,Greece,NI,nikolaos.anadiotis@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Christine ANDERSON,Germany,ESN,christine.anderson@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
Li ANDERSSON,Finland,The Left,li.andersson@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,,
Rasmus ANDRESEN,Germany,Greens/EFA,rasmus.andresen@europarl.europa.eu,N/A,N/A,N/A,Budgets; Economic affairs,BUDG,2024-12-15,,
Barry ANDREWS,Ireland,Renew,barry.andrews@europarl.europa.eu,N/A,N/A,N/A,Development; International trade,DEVE; INTA,2024-12-15,,
