country_code,country_name,dpa_name,dpa_homepage_url,complaint_entry_url,secondary_source_url,submission_channels,pre_complaint_expectation,evidence_or_form_notes,follow_up_notes,scope_notes,last_verified
FR,France,Commission Nationale de l'Informatique et des Libertés (CNIL),https://www.cnil.fr/,https://www.cnil.fr/en/plaintes,https://www.cnil.fr/fr/donnees-personnelles/plaintes-en-ligne,"Online complaint wizard","Choose the complaint theme, identify yourself, describe the issue, and provide supporting material where relevant.","CNIL states that identification, complaint description, and supporting documents where relevant are necessary to handle the file.","CNIL routes and investigates complaints; European cooperation can apply for cross-border files.","Good first route for France-based complaints and French-facing controllers; check cross-border lead-authority issues for large platforms.",2026-04-24
DE,Germany,Die Bundesbeauftragte fuer den Datenschutz und die Informationsfreiheit (BfDI),https://www.bfdi.bund.de/,https://www.bfdi.bund.de/DE/Buerger/Inhalte/Allgemein/Datenschutz/BeschwerdeBeiDatenschutzbehoereden.html,https://www.bfdi.bund.de/DE/Buerger/Inhalte/Allgemein/Datenschutz/Zust%C3%A4ndigkeit-BfDI.html,"BfDI online complaint form plus contact channels","Identify the target body first; BfDI covers federal bodies, telecom/post providers, and certain special sectors, while most private-sector cases go to a Land DPA.","Use the BfDI contact finder or the Land DPA route if the complaint is against a normal private company or a regional or local public body.","The official BfDI complaint page says the authority must inform the complainant about status within three months.","Germany is federated for data protection supervision; scope matching matters before filing.",2026-04-24
IE,Ireland,Data Protection Commission (DPC),https://www.dataprotection.ie/,https://www.dataprotection.ie/en/individuals/exercising-your-rights/raising-concern-commission,https://www.dataprotection.ie/en/faqs/initial-contact-dpc/making-complaint-dpc,"Online concern form or email to info@dataprotection.ie","The DPC expects you to contact the organisation first and use the DPC route if the issue is unresolved or the response is inadequate.","The DPC asks for copies of the correspondence exchanged with the controller, including full emails with headers, footers, dates, and times visible.","The DPC says you receive an immediate acknowledgement of initial contact and aims to provide a substantive response within 20 working days.","High-value route for Ireland-based complaints and many cross-border tech cases handled from Ireland.",2026-04-24
IT,Italy,Garante per la protezione dei dati personali,https://www.garanteprivacy.it/,https://www.garanteprivacy.it/garante/doc.jsp?ID=2014184,https://www.garanteprivacy.it/web/garante-privacy-en/home_en,"Official forms and services pages","Use the official complaint model or service route published by the Garante; rights-request disputes should usually be documented before escalation.","The forms page includes an information page and complaint model; the Italian route is more form-driven than some peers.","No short timing statement was captured in this first pass; verify current handling notes on the forms page before filing.","Central Italian DPA route; useful for rights, complaint, and formal filing workflows.",2026-04-24
NL,Netherlands,Autoriteit Persoonsgegevens (AP),https://autoriteitpersoonsgegevens.nl/,https://autoriteitpersoonsgegevens.nl/en/submitting-a-tip-off-or-a-complaint-to-the-dutch-dpa,https://autoriteitpersoonsgegevens.nl/en/how-we-process-your-complaint,"Online complaint or tip-off form","The AP says you must first complain to the organisation itself or make a rights request before filing with the AP.","The AP notes that if you file a personal complaint, it discloses your identity to the organisation or person concerned.","The AP says you will hear from it within three months; it may resolve the matter simply, investigate extensively, or forward a cross-border case while staying your contact point.","Useful for Netherlands-based complaints and EU-headquartered-in-the-Netherlands cross-border cases.",2026-04-24
ES,Spain,Agencia Espanola de Proteccion de Datos (AEPD),https://www.aepd.es/,https://www.aepd.es/preguntas-frecuentes/13-reclamaciones/FAQ-1301-como-puedo-interponer-una-reclamacion-si-han-vulnerado-mis-datos-de-caracter-personal,https://www.aepd.es/preguntas-frecuentes/13-reclamaciones,"Electronic Office complaint forms","AEPD expects evidence or indications of infringement and uses different filing paths depending on the complaint type, including rights-not-answered cases.","Use the complaint path that matches the issue category; the FAQ points to separate Electronic Office routes for rights requests, advertising, debt files, and other infringements.","AEPD says it has up to three months to decide on admission or non-admission; after that point the complaint is deemed admitted if no decision has issued.","Strong route for Spain-based rights and complaint filings, especially where the issue fits a standard AEPD complaint category.",2026-04-24
PL,Poland,Urzad Ochrony Danych Osobowych (UODO),https://uodo.gov.pl/,https://uodo.gov.pl/en/681/1404,https://uodo.gov.pl/en/p/contact,"Traditional written complaint, electronic inbox, ePUAP, or biznes.gov.pl","Use the official complaint route and channel guidance; electronic filing is channel-specific and form-based.","UODO distinguishes between the official electronic inbox routes and fallback email use for people without qualified signature or ePUAP trusted profile.","UODO says that after investigating the case, if an infringement is confirmed, the President can order compliance by administrative decision.","Useful first route for Poland-based GDPR complaints; the contact page explains the practical differences between filing channels.",2026-04-24
AT,Austria,Oesterreichische Datenschutzbehoerde (DSB),https://dsb.gv.at/,https://dsb.gv.at/eingabe-an-die-dsb/beschwerde,https://www.formularservice.gv.at/site/fsrv/user/formular.aspx?pid=5a37966ab26c4489adc20dc53162fa4d&pn=Bf10e1134f601464e9b3835170de668bd,"Online complaint form, email to dsb@dsb.gv.at, or postal filing","This is a formal legal remedy; identify the opposing party and the allegedly violated right clearly before filing.","The authority page lists mandatory complaint contents, including the opposing party, address, facts, timing, and copies of prior rights requests where applicable.","No short processing-time target was captured in this pass, but the page explains filing deadlines: normally within one year from knowledge and no later than three years after the event.","Useful for Austria-based complaints; cross-border private-sector cases can trigger one-stop-shop cooperation and take longer.",2026-04-24
BE,Belgium,Autorite de protection des donnees / Gegevensbeschermingsautoriteit (APD-GBA),https://www.autoriteprotectiondonnees.be/,https://www.autoriteprotectiondonnees.be/citoyen/agir/introduire-une-plainte,https://www.gegevensbeschermingsautoriteit.be/burger/acties/klacht-indienen,"Complaint page during citizen-portal transition; verify current portal status before filing","The authority strongly suggests checking whether mediation or an information request is more appropriate before using the complaint route.","As of April 24, 2026 the authority states that electronic citizen forms are temporarily unavailable and that a new citizen portal is due to open on May 8, 2026. A rights-based complaint normally requires prior exercise of rights and a one-month wait for the controller's response.","The page says identity is in principle disclosed to the opposing party and that the First Line Service may treat a complaint first as mediation where appropriate.","Important route for Belgium-based complaints, but current portal transition means citizens should verify the live filing channel before acting.",2026-04-24
DK,Denmark,Datatilsynet,https://www.datatilsynet.dk/,https://www.datatilsynet.dk/borger/klage/saadan-klager-du,https://www.datatilsynet.dk/borger/klage/behandling-af-klagesager,"MitID-backed complaint form, with fallback contact routes if the form cannot be used","Datatilsynet recommends contacting the controller first before filing the complaint.","The complaint form helps the complainant provide the information necessary for handling the case; the authority requires at minimum a name and address and does not normally handle anonymous complaints.","Datatilsynet states a service goal that 50 percent of complaint cases should finish within two months and 80 percent within six months.","Good first route for Denmark-based complaints, especially where the complainant can use the official form with MitID.",2026-04-24
