country_code,country_name,region,official_name,informal_title,legal_responsibility,phone,email,website,address,extra_contact_details,source_page_url,source_iframe_url,last_verified,notes
AT,Austria,* National coverage / competence (AT),Bundesamt für Eich- und Vermessungswesen,Federal Office of Metrology and Surveying,"Directive (EU) 2015/2302 on package travel and linked travel arrangements, Directive 2005/29/EC on unfair commercial practices, Directive 2006/114/EC on misleading and comparative advertising, Directive 2006/123/EC on services in the internal market, Directive 2008/48/EC on credit agreements for consumers, Directive 98/6/EC on consumer protection in the indication of the prices of products, Legal responsibility for enforcing the following Union law(s):, Regulation (EC) No 1008/2008 on common air services rules in the Community, Regulation (EU) 2018/302 addressing unjustified geo-blocking",+43 01 211 10 0,vbk@bev.gv.at,https://www.bev.gv.at/,Schiffamtsgasse 1-3; 1020 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Bundesamt für Sicherheit im Gesundheitswesen,Austrian Federal Office for Safety in Health Care (BASG),"Directive 2001/83/EC on medicinal products for human use, Legal responsibility for enforcing the following Union law(s):",+43 050555,basg@basg.gv.at,http://www.basg.gv.at,Traisengasse 5; 1200 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Bundesarbeitskammer,Austrian Chamber of Labour,,01 501651202,gbr@akwien.at,,Prinz-Eugen Straße 20-22; 1040 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Bundeskartellanwalt,Federal Cartel Prosecutor,"Directive (EU) 2015/2302 on package travel and linked travel arrangements, Directive 1999/44/EC on the sale of consumer goods and associated guarantees, Directive 2000/31/EC on electronic commerce, Directive 2002/65/EC on distance marketing of consumer financial services, Directive 2008/122/EC on timeshare, long-term holiday product, resale and exchange contracts, Directive 2008/48/EC on credit agreements for consumers, Directive 2011/83/EU on consumer rights, Directive 2013/11/EU on consumer ADR, Directive 2014/17/EU on credit agreements for consumers for residential property, Directive 93/13/EEC on unfair terms in consumer contracts, Legal responsibility for enforcing the following Union law(s):, Regulation (EU) 2017/1128 on cross-border portability of online content services, Regulation (EU) No 524/2013 on consumer ODR",+43 01 52152 0,CPC-Bundeskartellanwalt@justiz.gv.at,http://www.justiz.gv.at/bundeskartellanwalt,Schmerlingplatz 11; 1016 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Energie-Control Austria für die Regulierung der Elektrizitäts- und Erdgaswirtschaft (E-Control),e-Control - Regulatory authority responsible for establishing and complying with the rules on the Austrian energy market,,01 24724 0,office@e-control.at,http://www.e-control.at,Rudolfsplatz 13a; 1010 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Fernmeldebüro,Telecommunications Office,"Directive 2002/58/EC on privacy and electronic communications, Legal responsibility for enforcing the following Union law(s):",+43 01 711 00 654500,office@fb.gv.at,https://fb.gv.at,Radetzkystraße 2; 10030 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Finanzmarktaufsicht (FMA),Austrian Financial Market Authority (FMA),,01 24959,cpc@fma.gv.at,http://www.fma.gv.at,Otto-Wagner-Platz 5; 1090 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Internet Ombudsstelle c/o Österreichisches Institut für angewandte Telekommunikation,Internet Ombudsstelle c/o Austrian Institute for Applied Telecommunication,,+43 1 595 211 20,kontakt@ombudsstelle.at,http://www.ombudsstelle.at,Ungargasse 64-66/3/404; 1030 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Official source row does not list a legal responsibility in this snapshot. Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Kommunikationsbehörde Austria (KommAustria),Austrian Communications Authority (KommAustria),"Directive 2010/13/EU on audiovisual media services, Legal responsibility for enforcing the following Union law(s):",+43 01 58058 0,rtr@rtr.at,https://www.rtr.at,Mariahilfer Straße 77-79; 1060 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
AT,Austria,* National coverage / competence (AT),Schienen-Control GmbH,Schienen-Control - independent regulator for the railways,"Legal responsibility for enforcing the following Union law(s):, Regulation (EC) No 1107/2006 on disabled persons' and persons with reduced mobility's rights when travelling by air, Regulation (EC) No 261/2004 on denied boarding and of cancellation or long delay of flights, Regulation (EU) No 1177/2010 on passengers' rights when travelling by sea and inland waterway, Regulation (EU) No 181/2011 on passengers' rights in bus and coach transport, Regulation (EU) No 2021/782 on rail passengers' rights and obligations (repealing Regulation (EC) No 1371/2007)",+43 01 5050707,office@apf.gv.at,https://www.schienencontrol.gv.at,Linke Wienzeile 4/1/6; 1060 Wien,,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/consumer-protection-cooperation-network/list-cpc-competent-authorities_en,https://ec.europa.eu/consumers/cpcn/cpc_ca.html,2026-04-23,Source lists this entry with regional or sectoral scope metadata.
