country_code,country_name,digital_services_coordinator_name,digital_services_coordinator_url,data_protection_authority_name,data_protection_authority_url,consumer_protection_authority_name,consumer_protection_authority_url,telecom_or_media_regulator_name,telecom_or_media_regulator_url,competition_authority_name,competition_authority_url,accessibility_or_equality_body_name,accessibility_or_equality_body_url,last_verified,notes
AT,Austria,Austria Communications Authority,https://www.rtr.at/medien/was_wir_tun/DigitaleDienste/DSA/DSA.de.html,Österreichische Datenschutzbehörde,http://www.dsb.gv.at/,,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR),https://www.rtr.at/TKP/Telecommunications_and_Postal_Division.en.html,Bundeswettbewerbsbehörde - Federal Competition Authority of Austria,https://www.bwb.gv.at/en,Gleichbehandlungsanwaltschaft,http://www.gleichbehandlungsanwaltschaft.at/,2026-04-23,
BE,Belgium,Belgian Institute for Postal Services and Telecommunications,https://www.ibpt.be/operateurs/le-digital-services-act,Autorité de la protection des données - Gegevensbeschermingsautoriteit (APD-GBA),https://www.autoriteprotectiondonnees.be,,,Belgian Institute for Postal Services and Telecommunications (BIPT),https://www.bipt.be/operators,Autorité Belge de la Concurrence Belgische Mededingingsautoriteit Belgian Competition Authority,https://www.belgiancompetition.be/en/contact,Institut pour l'Egalité des Femmes et des Hommes / Instituut voor de Gelijkheid van Vrouwen en Mannen,http://igvm-iefh.belgium.be/fr/,2026-04-23,
BG,Bulgaria,Communications Regulation Commission,https://crc.bg,Commission for Personal Data Protection,https://www.cpdp.bg/,,,Communications Regulation Commission (CRC),https://crc.bg/en,Commission for Protection of Competition Republic of Bulgaria,http://www.cpc.bg/,Комисия за защита от дискриминация,http://www.kzd-nondiscrimination.com,2026-04-23,
HR,Croatia,Croatian Regulatory Authority for Network Industries (HAKOM),https://www.hakom.hr/hr/odluka-o-imenovanju-hakom-a-koordinatorom-za-digitalne-usluge-republike-hrvatske/11630,Agencija za zaštitu osobnih podataka (AZOP),http://www.azop.hr/,,,Croatian Regulatory Authority for Network Industries (HAKOM),https://www.hakom.hr/en/home/8,Agencija za zaštitu tržišnog natjecanja (AZTN) Croatian Competition Agency,http://www.aztn.hr/,Ombudsperson for Gender Equality,http://www.prs.hr,2026-04-23,Digital Services Coordinator also matches the telecom/media regulator.
CY,Cyprus,Radiotelevision & Digital Services Authority,https://crta.org.cy,Γραφείο Επιτρόπου Προστασίας Δεδομένων Προσωπικού Χαρακτήρα (Cypriot Data Protection Authority),http://www.dataprotection.gov.cy/,,,Office of the Commissioner of Electronic Communications and Postal Regulation (OCECPR),https://ocecpr.ee.cy/,"Commission for the Protection of Competition, Cyprus",http://www.competition.gov.cy/competition/competition.nsf/index_gr/index_gr?opendocument=,Γραφείο Επιτρόπου Διοικήσεως (Ομπουτσμαν) - Αρχική Σελίδα,http://www.ombudsman.gov.cy/,2026-04-23,
CZ,Czechia,Czech Telecommunication Office,https://ctu.gov.cz/en/node/480716,Office for Personal Data Protection,https://uoou.gov.cz/,,,Czech Telecommunication Office (CTU),http://www.ctu.eu/main.php?pageid=178,Úřad pro ochranu hospodářské soutěže (ÚOHS) Office for the Protection of Competition,https://www.uohs.cz/cs/uvodni-stranka.html,Veřejný ochránce práv,https://www.ochrance.cz/en/,2026-04-23,
DK,Denmark,Agency for Digital Government,https://digst.dk/tilsyn/digitale-formidlingstjenester-dsa/,Datatilsynet,http://www.datatilsynet.dk/,Danish Competition and Consumer Authority (DCCA),https://www.kfst.dk/konkurrenceomraadet/,Danish Competition and Consumer Authority (DCCA),https://en.kfst.dk/,Konkurrence -OG Forbrugerstyrelsen Danish Competition and Consumer Authority,https://www.kfst.dk/konkurrenceomraadet/,Ligebehandlingsnævnet,http://www.ligebehandlingsnaevnet.dk/,2026-04-23,
EE,Estonia,Consumer Protection and Technical Regulatory Authority (CPTRA),https://www.ttja.ee/,Estonian Data Protection Inspectorate (Andmekaitse Inspektsioon),http://www.aki.ee/,Consumer Protection and Technical Regulatory Authority (CPTRA),https://www.ttja.ee/,Estonian Consumer Protection and Technical Regulatory Authority (ECPTRA),https://ttja.ee/en,Konkurentsiamet Republic of Estonia Competition Authority,https://www.konkurentsiamet.ee/et,Soolise võrdõiguslikkuse volinik,http://www.svv.ee/,2026-04-23,Digital Services Coordinator also carries an explicit consumer-protection remit.
FI,Finland,Finnish Transport and Communications Agency (TRAFICOM),https://www.traficom.fi/fi/viestinta/datatalous-ja-digipalvelut/rakennamme-datatalouden-tulevaisuutta,Office of the Data Protection Ombudsman,http://www.tietosuoja.fi/en/,Finnish Competition and Consumer Authority,https://www.kkv.fi/,Finnish Communications Regulatory Authority (TRAFICOM),https://www.traficom.fi/en/,Kilpailu- ja kuluttajavirasto Finnish Competition and Consumer Authority,https://www.kkv.fi/,Tasa -arvo naisten ja miesten välillä,https://tasa-arvo.fi/etusivu,2026-04-23,Competition authority also carries an explicit consumer-protection remit.
FR,France,Regulatory Authority for Audiovisual and Digital Communication (Arcom),https://www.arcom.fr/actualites/5-informations-retenir-sur-le-reglement-sur-les-services-numeriques-rsn-ou-digital-services-act-dsa,Commission Nationale de l'Informatique et des Libertés - CNIL,http://www.cnil.fr/,,,"Electronic Communications, Postal and Print Media Distribution Regulatory Authority (Arcep)",https://www.arcep.fr/en/,Autorité de la concurrence - France,https://www.autoritedelaconcurrence.fr/fr/liste-des-decisions-et-avis?id_rub=12,Défenseur des Droits,http://www.defenseurdesdroits.fr,2026-04-23,
DE,Germany,"Federal Network Agency for Electricity, Gas, Telecommunications, Post and Railways (BNetzA)",https://www.dsc.bund.de/DSC/DE/_Home/start.html,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,http://www.bfdi.bund.de/,,,Federal Network Agency (BNetzA),https://www.bundesnetzagentur.de/EN/Home/home_node.html,Bundeskartellamt,https://www.bundeskartellamt.de/DE/Home/home_node.html,Antidiskriminierungsstelle,http://www.antidiskriminierungsstelle.de/,2026-04-23,
GR,Greece,Hellenic Telecommunications and Post Commission (EETT),https://www.eett.gr/,Αρχή Προστασίας Δεδομένων Προσωπικού Χαρακτήρα (Hellenic Data Protection Authority),http://www.dpa.gr/,,,Hellenic Telecommunications and Post Commission (EETT),https://www.eett.gr/en/,Hellenic Competition Commission,https://www.epant.gr/main.php?Lang=gr,Συνήγορος του Πολίτη,http://www.synigoros.gr/,2026-04-23,Digital Services Coordinator also matches the telecom/media regulator.
HU,Hungary,National Media and Infocommunications Authority,https://nmhh.hu,Hungarian National Authority for Data Protection and Freedom of Information,http://www.naih.hu/,,,National Media and Infocommunications Authority (NMHH),http://english.nmhh.hu/,Gazdasági Versenyhivatal Hungarian Competition Authority,https://www.gvh.hu/,Alapvető Jogok Biztosa,http://www.ajbh.hu,2026-04-23,
IE,Ireland,Media Commission,https://www.cnam.ie/online-safety,Data Protection Commission,http://www.dataprotection.ie/,Competition and Consumer Protection Commission (CCPC),https://www.ccpc.ie/,Commission for Communications Regulation (ComReg),https://www.comreg.ie/,Coimisiún um lomaiocht agus Cosaint Tomhaltóiri Competition and Consumer Protection Commission (CCPC),https://www.ccpc.ie/,Irish Human Rights and Equality Commission,http://www.ihrec.ie,2026-04-23,Competition authority also carries an explicit consumer-protection remit.
IT,Italy,Authority for Communications Guarantees,https://www.agcom.it,Garante per la protezione dei dati personali,http://www.garanteprivacy.it/,,,Authority for Communications (AGCOM),http://www.agcom.it/,Autorità Garante Della Concorrenza e del Mercato,https://www.agcm.it/,Comitato Nazionale di Parità,https://www.lavoro.gov.it/temi-e-priorita/parita-e-pari-opportunita/focus-on/Comitato-Nazionale-Parita/Pagine/default.aspx,2026-04-23,
LV,Latvia,Consumer Rights Protection Centre,https://www.ptac.gov.lv,Data State Inspectorate,https://www.dvi.gov.lv/,Consumer Rights Protection Centre,https://www.ptac.gov.lv,Public Utilities Commission (SPRK),https://www.sprk.gov.lv/en,"Competition Council, Republic of Latvia",https://www.kp.gov.lv/en,Office of the Ombudsman,http://www.tiesibsargs.lv,2026-04-23,Digital Services Coordinator also carries an explicit consumer-protection remit.
LT,Lithuania,Communications Regulatory Authority (RRT),https://www.rrt.lt/skaitmeniniu-paslaugu-aktas,State Data Protection Inspectorate,https://vdai.lrv.lt/,,,Communications Regulatory Authority (RRT),https://www.rrt.lt/en/,Competition Council of the Republic of Lithuania,https://kt.gov.lt/en/,Office of the Equal Opportunities Ombudsman,http://www.lygybe.lt,2026-04-23,Digital Services Coordinator also matches the telecom/media regulator.
LU,Luxembourg,Competition Authority,https://concurrence.public.lu/fr/actualites/2023/09-11-dsa.html,Commission Nationale pour la Protection des Données,http://www.cnpd.lu/,,,Luxembourg Institute for Regulation (ILR),http://www.ilr.lu/,"Autorité de la Concurrence, Grand-Duché de Luxembourg",https://concurrence.public.lu/fr.html,Center for Equal Treatment,http://www.cet.lu,2026-04-23,
MT,Malta,Malta Communications Authority (MCA),https://www.mca.org.mt/initiatives/dsa,Office of the Information and Data Protection Commissioner,http://www.idpc.org.mt/,Malta Competition and Consumer Affairs Authority (MCCAA),https://mccaa.org.mt/Section/index?sectionId=1060,Malta Communications Authority (MCA),http://www.mca.org.mt/,Malta Competition and Consumer Affairs Authority (MCCAA),https://mccaa.org.mt/Section/index?sectionId=1060,National Commission for the Promotion of Equality,https://ncpe.gov.mt/about-us/functions-of-the-commission/,2026-04-23,Digital Services Coordinator also matches the telecom/media regulator. Competition authority also carries an explicit consumer-protection remit.
NL,Netherlands,Authority for Consumers and Markets,https://www.acm.nl/nl/online-platforms/overzicht-wetten-en-regels-voor-online-platforms,Autoriteit Persoonsgegevens,https://autoriteitpersoonsgegevens.nl/,Authority for Consumers and Markets,https://www.acm.nl/nl,Authority for Consumers and Markets (ACM),https://www.acm.nl/en/,Autoriteit Consument & Markt Authority for Consumers and Markets,https://www.acm.nl/nl,Netherlands Institute for Human Rights,http://www.mensenrechten.nl,2026-04-23,Competition authority also carries an explicit consumer-protection remit. Digital Services Coordinator also carries an explicit consumer-protection remit.
PL,Poland,,,Urząd Ochrony Danych Osobowych (Personal Data Protection Office),https://uodo.gov.pl/,Office of Competition and Consumer Protection,https://www.uokik.gov.pl/,Office of Electronic Communications (UKE),https://www.uke.gov.pl/en/,Urzqd Ochrony Konkurencji i Konsumentów Office of Competition and Consumer Protection,https://www.uokik.gov.pl/,Commissioner for Human Rights,http://www.rpo.gov.pl,2026-04-23,Commission DSC page did not list a designated coordinator in this snapshot. Competition authority also carries an explicit consumer-protection remit.
PT,Portugal,National Communications Authority (ANACOM),https://www.anacom.pt/,Comissão Nacional de Proteção de Dados - CNPD,http://www.cnpd.pt/,,,National Regulatory Authority for Communications (ANACOM),https://www.anacom.pt/render.jsp?languageId=1,Autoridade da Concorrência (AdC),http://www.concorrencia.pt/vPT/Paginas/HomeAdC.aspx,CITE Comissão para a Igualdade no Trabalho e no Emprego; Commission for Citizenship and Gender Equality,http://www.cite.gov.pt/ ; http://www.cig.gov.pt,2026-04-23,More than one equality body is listed in the official source snapshot.
RO,Romania,National Authority for Management and Regulation in Communications (ANCOM),https://www.ancom.ro,The National Supervisory Authority for Personal Data Processing,http://www.dataprotection.ro/,,,The National Authority for Management and Regulation in Communications (ANCOM),http://www.ancom.org.ro/en/,Consiliul Concurentei România,http://www.consiliulconcurentei.ro/,National Council for Combating Discrimination,http://www.cncd.ro,2026-04-23,
SK,Slovakia,Council for Media Services,https://www.dsa-slovensko.sk,Úrad na ochranu osobných údajov Slovenskej republiky,http://www.dataprotection.gov.sk/,,,Regulatory Authority for Electronic Communications and Postal Services (RÚ),https://www.teleoff.gov.sk/regulatory-authority-for-electronic-communications-and-postal-services/,Protimonopolný Úrad Slovenskej Republiky Antimonopoly Office of the Slovak Republic,https://www.antimon.gov.sk/?lang=1051,National Center for Human Rights,http://www.snslp.sk,2026-04-23,
SI,Slovenia,Agency for Communication Networks and Services of the Republic of Slovenia (AKOS),https://www.akos-rs.si/,Information Commissioner of the Republic of Slovenia,https://www.ip-rs.si/,,,Agency for Communication Networks and Services of the Republic of Slovenia (AKOS),https://www.akos-rs.si/en/,Javna Agencija Republike Slovenije Za Varstvo Konkurence Slovenian Competition Protection Agency,http://www.varstvo-konkurence.si/,Advocate for the principle of Equality,http://zagovornik.gov.si,2026-04-23,Digital Services Coordinator also matches the telecom/media regulator.
ES,Spain,National Commission for Markets and Competition,https://www.cnmc.es,Agencia Española de Protección de Datos (AEPD),https://www.aepd.es/,,,Spanish National Markets and Competition Commission (CNMC),https://www.cnmc.es/en,Comisión Nacional de los Mercados y la Competencia (CNMC),https://www.cnmc.es/,Instituto de la Mujer,http://www.inmujer.es/,2026-04-23,
SE,Sweden,Post and Telecom Authority,https://pts.se/internet-och-telefoni/dsa-forordningen---regler-om-digitala-tjanster-for-en-sakrare-onlinemiljo/,Integritetsskyddsmyndigheten,http://www.imy.se/,,,Swedish Post and Telecom Authority (PTS),http://www.pts.se/en/,Konkurrensverket Swedish Competition Authority,https://www.konkurrensverket.se/,Diskriminerings ombudsmannen,http://www.do.se/,2026-04-23,
