country_code,country_name,display_order,body_name,body_description,website_urls,source_url,last_verified,notes
AT,Austria,1,Gleichbehandlungsanwaltschaft,Ombud for Equal Treatment,http://www.gleichbehandlungsanwaltschaft.at/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
BE,Belgium,1,Institut pour l'Egalité des Femmes et des Hommes / Instituut voor de Gelijkheid van Vrouwen en Mannen,Institute for the Equality of Women and Men,http://igvm-iefh.belgium.be/fr/ ; http://igvm-iefh.belgium.be/nl/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
BG,Bulgaria,1,Комисия за защита от дискриминация,Commission for Protection against Discrimination,http://www.kzd-nondiscrimination.com,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
HR,Croatia,1,Ombudsperson for Gender Equality,,http://www.prs.hr,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
CY,Cyprus,1,Γραφείο Επιτρόπου Διοικήσεως (Ομπουτσμαν) - Αρχική Σελίδα,Ombudsman,http://www.ombudsman.gov.cy/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
CZ,Czechia,1,Veřejný ochránce práv,Office of the Public Defender of Rights,https://www.ochrance.cz/en/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
DK,Denmark,1,Ligebehandlingsnævnet,Board of Equal Treatment,http://www.ligebehandlingsnaevnet.dk/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
EE,Estonia,1,Soolise võrdõiguslikkuse volinik,Gender Equality and Equal Treatment Commissioner,http://www.svv.ee/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
FI,Finland,1,Tasa -arvo naisten ja miesten välillä,Ombudsman for Equality,https://tasa-arvo.fi/etusivu,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
FR,France,1,Défenseur des Droits,Defender of Rights,http://www.defenseurdesdroits.fr,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
DE,Germany,1,Antidiskriminierungsstelle,Federal Anti-Discrimination Agency,http://www.antidiskriminierungsstelle.de/,https://commission.europa.eu/strategy-and-policy/policies/justice-and-fundamental-rights/gender-equality/who-we-work-gender-equality/national-gender-equality-bodies_en,2026-04-23,Commission equality-bodies page entry.
