country_code,country_name,section_name,monitoring_summary,monitoring_urls,reporting_summary,reporting_urls,enforcement_summary,enforcement_urls,last_verified,notes
AT,Austria,Federal level,Austrian Research Promotion Agency)www.digitalbarrierefrei.at,http://www.digitalbarrierefrei.at,Austrian Research Promotion Agency)www.digitalbarrierefrei.at,http://www.digitalbarrierefrei.at,Austrian Research Promotion Agency)www.digitalbarrierefrei.at,http://www.digitalbarrierefrei.at,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Burgenland,"Antidiskriminierungsbeauftragte(r), Burgenland (Anti-discrimination Coordinator)",https://www.burgenland.at/,,,"Antidiskriminierungsbeauftragte(r), Burgenland (Anti-discrimination Coordinator)",https://www.burgenland.at/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Kärnten (Carinthia),"Österreichische Forschungsförderungsgesellschaft, FFG (Austrian Research Promotion Agency), a",https://www.digitalbarrierefrei.at/de/home,,,"Antidiskriminierungsstelle, Kärnten (Anti-discrimination Office)",http://www.ktn.gv.at/antidiskriminierung,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Niederösterreich (Lower Austria),"Amt der NÖ Landesregierung, Abteilung Familien und Generationen (Office of the Lower Austrian Federal State Government, Department of Families and Generations). Contact information",https://www.noe.gv.at/noe/index.html ; https://www.noe.gv.at/noe/Kontakt-Landesverwaltung/Abteilung_Familien_und_Generationen.html,,,Niederösterreichische Antidiskriminierungsstelle (Lower Austrian Anti-discrimination Agency),http://www.noe.gv.at/noe/Gleichbehandlung-Antidiskriminierung/NOe_Antidiskriminerungsstelle.html,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Oberösterreich (Upper Austria),"Amt der Oberösterreichischen Landesregierung, Abteilung Personal (Office of the Provincial Government, Human Resources Department)",https://www.land-oberoesterreich.gv.at/19299.htm,,,"Antidiskriminierungsstelle, Oberösterreich (Anti-discrimination Office)",https://www.land-oberoesterreich.gv.at/antidiskriminierung.htm,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Salzburg,"Dienststelle für Internetauftritte des Landes Salzburg, Amt der Salzburger Landesregierung (Division for internet sites of the regional administration of Salzburg)",https://www.salzburg.gv.at/dienststellen/abteilungen/200/2001/20014,,,"Behinderung und Inklusion zuständige Abteilung des Amtes der Salzburger Landesregierung, Ombudsstelle (Department for disability and inclusion of the regional administration of Salzburg)",http://www.salzburg.gv.at/focal-point,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Steiermark (Styria),"LAD – Referat Kommunikation Land Steiermark (Office of the Provincial Government, Communication Department)",http://www.steiermark.at/,,,"Gleichbehandlungsbeauftragte(r) des Landes und der Gemeinden, Steiermark, L-GBG (Equal Treatment Officer of the federal state of Styria and municipalities of Styria)",http://www.gleichbehandlung.steiermark.at/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Tirol (Tyrol),"Antidiskriminierungsbeauftragte(r), Tirol (Anti-discrimination Officer)",https://www.tirol.gv.at/gesellschaft-soziales/gleichbehandlung-antidiskriminierung/barrierefreies-internet/ombudsstelle/,,,"Antidiskriminierungsbeauftragte(r), Tirol (Anti-discrimination Officer)",https://www.tirol.gv.at/gesellschaft-soziales/gleichbehandlung-antidiskriminierung/barrierefreies-internet/ombudsstelle/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Vorarlberg,"Österreichische Forschungsförderungsgesellschaft, FFG (Austrian Research Promotion Agency),",https://www.digitalbarrierefrei.at/de/home,,,Landesvolksanwalt von Vorarlberg (Regional Ombudsman of Vorarlberg),http://www.landesvolksanwalt.at/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
AT,Austria,Wien (Vienna),Stelle zur Bekämpfung von Diskriminierungen (Anti-discrimination Office),https://www.wien.gv.at/verwaltung/antidiskriminierung/,,,Stelle zur Bekämpfung von Diskriminierungen (Anti-discrimination Office),https://www.wien.gv.at/verwaltung/antidiskriminierung/,2026-04-23,"Subsection on the official Commission page, not a single country-wide row."
BE,Belgium,National,"Service Public Fédéral Stratégie et Appui, Direction Générale Transformation digitale / Federale Overheidsdienst Beleid en Ondersteuning, Directoraat-generaal Digitale Transformatie / Föderale Öffentliche Dienst Politik und Unterstützung, Generaldirektion Digitale Transformation (Federal Public Service Policy and Support, Directorate-General Digital Transformation); monitoring bodies for the regions and the communities are listed on the website of the Belgian Web Accessibility Office",https://dt.bosa.be/ ; https://accessibility.belgium.be/fr/a-propos-de-la-bwao,"Service Public Fédéral Stratégie et Appui, Direction Générale Transformation digitale / Federale Overheidsdienst Beleid en Ondersteuning, Directoraat-generaal Digitale Transformatie / Föderale Öffentliche Dienst Politik und Unterstützung, Generaldirektion Digitale Transformation (Federal Public Service Policy and Support, Directorate-General Digital Transformation)",https://dt.bosa.be/,"Service Public Fédéral Stratégie et Appui, Direction Générale Transformation digitale / Federale Overheidsdienst Beleid en Ondersteuning, Directoraat-generaal Digitale Transformatie / Föderale Öffentliche Dienst Politik und Unterstützung, Generaldirektion Digitale Transformation (Federal Public Service Policy and Support, Directorate-General Digital Transformation)",https://dt.bosa.be/,2026-04-23,
BG,Bulgaria,National,Ministry of e-Government,https://egov.government.bg/wps/portal/ministry-meu/home/web-accessibility/obligation.to.ensure.accessibility,Ministry of e-Government,https://egov.government.bg/wps/portal/ministry-meu/home/web-accessibility/obligation.to.ensure.accessibility,Ministry of e-Government,https://egov.government.bg/wps/portal/ministry-meu/home/web-accessibility/obligation.to.ensure.accessibility,2026-04-23,
HR,Croatia,National,Povjerenik za informiranje (Information Commissioner),https://www.pristupinfo.hr/,Središnji državni ured za razvoj digitalnog društva (Central State Office for Development of Digital Society),https://rdd.gov.hr/,Povjerenik za informiranje (Information Commissioner),https://www.pristupinfo.hr/,2026-04-23,
CY,Cyprus,National,Επιτροπή Παρακολούθησης (Monitoring Committee),,Επιτροπή Παρακολούθησης (Monitoring Committee),,"Τμήμα Υπηρεσιών Πληροφορικής, Υφυπουργείο Έρευνας, Καινοτομίας και Ψηφιακής Πολιτικής (Department of Information Technology Services, Deputy Ministry of Research, Innovation and Digital Policy) (Body); feedback mechanism; complaints may also be submitted to the Commissioner for Administration and the Protection of Human Rights (Ombudsman)",https://dits.dmrid.gov.cy/ ; https://eforms.mof.gov.cy/eforms/eforms.nsf/complaintformombudsman_en/complaintformombudsman_en?OpenForm,2026-04-23,
CZ,Czechia,National,Digitální a informační agentura (Digital and Information Agency),https://www.dia.gov.cz/,Digitální a informační agentura (Digital and Information Agency),https://www.dia.gov.cz/,Digitální a informační agentura (Digital and Information Agency),https://www.dia.gov.cz/,2026-04-23,
DK,Denmark,National,Digitaliseringsstyrelsen (Agency for Digital Government),https://digst.dk/,Digitaliseringsstyrelsen (Agency for Digital Government),https://digst.dk/,Digitaliseringsstyrelsen (Agency for Digital Government),https://digst.dk/,2026-04-23,
EE,Estonia,National,Tarbijakaitse ja Tehnilise Järelevalve Amet (Consumer Protection and Technical Regulatory Authority),https://ttja.ee/,Tarbijakaitse ja Tehnilise Järelevalve Amet (Consumer Protection and Technical Regulatory Authority),https://ttja.ee/,Tarbijakaitse ja Tehnilise Järelevalve Amet (Consumer Protection and Technical Regulatory Authority),https://ttja.ee/,2026-04-23,
