mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Li ANDERSSON,Finland,The Left,li.andersson@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,
Marc ANGEL,Luxembourg,S&D,marc.angel@europarl.europa.eu,N/A,N/A,N/A,Employment; Social rights,EMPL,2024-12-15,
Gabriele BISCHOFF,Germany,S&D,gabriele.bischoff@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,
Vilija BLINKEVIČIŪTĖ,Lithuania,S&D,vilija.blinkeviciute@europarl.europa.eu,N/A,N/A,N/A,Employment; Women's rights,EMPL; FEMM,2024-12-15,
David CASA,Malta,EPP,david.casa@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,
Estelle CEULEMANS,Belgium,S&D,estelle.ceulemans@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Leila CHAIBI,France,The Left,leila.chaibi@europarl.europa.eu,N/A,N/A,N/A,Internal market; Platform workers; Digital labor rights,IMCO; EMPL,2024-12-15,
Vivien COSTANZO,Germany,S&D,vivien.costanzo@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Johan DANIELSSON,Sweden,S&D,johan.danielsson@europarl.europa.eu,N/A,N/A,N/A,Employment; Transport,EMPL; TRAN,2024-12-15,
Adnan DIBRANI,Sweden,S&D,adnan.dibrani@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Klára DOBREV,Hungary,S&D,klara.dobrev@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,
Regina DOHERTY,Ireland,EPP,regina.doherty@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Rosa ESTARÀS FERRAGUT,Spain,EPP,rosa.estarasferragut@europarl.europa.eu,N/A,N/A,N/A,Women's rights; Employment,FEMM; EMPL,2024-12-15,
Alma EZCURRA ALMANSA,Spain,EPP,alma.ezcurraalmansa@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Heléne FRITZON,Sweden,S&D,helene.fritzon@europarl.europa.eu,N/A,N/A,N/A,Employment; Women's rights,EMPL; FEMM,2024-12-15,
Kathleen FUNCHION,Ireland,The Left,kathleen.funchion@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,
Lina GÁLVEZ,Spain,S&D,lina.galvez@europarl.europa.eu,N/A,N/A,N/A,Women's rights; Employment,FEMM; EMPL,2024-12-15,
Hanna GEDIN,Sweden,The Left,hanna.gedin@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Jean-Marc GERMAIN,France,S&D,jeanmarc.germain@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,
Isilda GOMES,Portugal,S&D,isilda.gomes@europarl.europa.eu,N/A,N/A,N/A,Social affairs; regional development,REGI; EMPL,2024-12-15,
Sandra GÓMEZ LÓPEZ,Spain,S&D,sandra.gomezlopez@europarl.europa.eu,N/A,N/A,N/A,Social policy; urban development,EMPL; REGI,2024-12-15,
Elisabetta GUALMINI,Italy,S&D,elisabetta.gualmini@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; employment,ITRE; EMPL,2024-12-15,
Martin GÜNTHER,Germany,The Left,martin.guenther@europarl.europa.eu,N/A,N/A,N/A,Social policy; labor rights,EMPL,2024-12-15,
Martin HOJSÍK,Slovakia,Renew Europe,martin.hojsik@europarl.europa.eu,N/A,N/A,N/A,Environment; industry; employment - EP Vice-President,EMPL; ENVI; ITRE,2024-12-15,
Alicia HOMS GINEL,Spain,S&D,alicia.homsginel@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,
Martine KEMP,Luxembourg,EPP,martine.kemp@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,
Łukasz KOHUT,Poland,EPP,lukasz.kohut@europarl.europa.eu,N/A,N/A,N/A,Culture; employment,CULT; EMPL,2024-12-15,
Katrin LANGENSIEPEN,Germany,Greens/EFA,katrin.langensiepen@europarl.europa.eu,N/A,N/A,N/A,Disability rights; internal market; consumer protection; employment,IMCO; EMPL,2024-12-15,
Isabelle LE CALLENNEC,France,EPP,isabelle.lecallennec@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,
Jeroen LENAERS,Netherlands,EPP,jeroen.lenaers@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; AI in law enforcement; data protection; migration - EPP Vice-Chair; Former LIBE Chair,LIBE; EMPL,2024-12-15,
Giuseppe LUPO,Italy,S&D,giuseppe.lupo@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; employment,ECON; EMPL,2024-12-15,
Marlena MALĄG,Poland,ECR,marlena.malag@europarl.europa.eu,N/A,N/A,N/A,Employment; internal market,EMPL; IMCO,2024-12-15,
Sara MATTHIEU,Belgium,Greens/EFA,sara.matthieu@europarl.europa.eu,N/A,N/A,N/A,Industry; employment,ITRE; EMPL,2024-12-15,
