mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags
Gilles BOYER,France,Renew,gilles.boyer@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Olivier CHASTEL,Belgium,Renew,olivier.chastel@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Tamás DEUTSCH,Hungary,PfE,tamas.deutsch@europarl.europa.eu,N/A,N/A,N/A,Budgets; Budget control,BUDG; CONT,2024-12-15,
Luke Ming FLANAGAN,Ireland,The Left,lukeming.flanagan@europarl.europa.eu,N/A,N/A,N/A,Budget control; Agriculture,CONT; AGRI,2024-12-15,
Daniel FREUND,Germany,Greens/EFA,daniel.freund@europarl.europa.eu,N/A,N/A,N/A,Budget control; Rule of law; Transparency,CONT; LIBE,2024-12-15,
Monika HOHLMEIER,Germany,EPP,monika.hohlmeier@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; counter-terrorism; security; AI in law enforcement,CONT; LIBE,2024-12-15,chair; cont_chair
Dariusz JOŃSKI,Poland,EPP,dariusz.jonski@europarl.europa.eu,N/A,N/A,N/A,Budget; budgetary control,BUDG; CONT,2024-12-15,
Péter MAGYAR,Hungary,EPP,peter.magyar@europarl.europa.eu,N/A,N/A,N/A,Environment; budgetary control - Leader of TISZA party,ENVI; CONT,2024-12-15,
Claudiu MANDA,Romania,S&D,claudiu.manda@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; economic affairs,CONT; ECON,2024-12-15,
Jan OLBRYCHT,Poland,EPP,jan.olbrycht@europarl.europa.eu,N/A,N/A,N/A,"EU budget, Multiannual Financial Framework (MFF rapporteur), cohesion policy, regional development",BUDG; CONT; REGI,2024-12-15,rapporteur
Younous OMARJEE,France,The Left,younous.omarjee@europarl.europa.eu,N/A,N/A,N/A,"Regional development, cohesion policy, outermost regions, EU budget - EP Vice-President",REGI; BUDG; CONT,2024-12-15,ep_vice_president
Hristo PETROV,Bulgaria,Renew,hristo.petrov@europarl.europa.eu,N/A,N/A,N/A,"Democratic reform, anti-corruption",CONT; LIBE,2024-12-15,
Terry REINTKE,Germany,Greens/EFA,terry.reintke@europarl.europa.eu,N/A,N/A,N/A,"Rule of law, LGBTI rights, civil liberties, gender equality - Greens/EFA Co-President",CONT; SEDE,2024-12-15,
Karlo RESSLER,Croatia,EPP,karlo.ressler@europarl.europa.eu,N/A,N/A,N/A,"Budgetary policy, civil liberties, human trafficking, EU enlargement",BUDG; CONT; LIBE,2024-12-15,
Petri SARVAMAA,Finland,EPP,petri.sarvamaa@europarl.europa.eu,N/A,N/A,N/A,"EU budget, budgetary control",BUDG; CONT,2024-12-15,
Martin SONNEBORN,Germany,NI,martin.sonneborn@europarl.europa.eu,N/A,N/A,N/A,"Political satire, transparency, media freedom",CONT,2024-12-15,
Cristian TERHEȘ,Romania,ECR,cristian.terhes@europarl.europa.eu,N/A,N/A,N/A,"Civil liberties, sovereignty, foreign affairs, digital privacy, data protection",CONT; AFET; SEDE; EUDS,2024-12-15,vice_chair
Kris VAN DIJCK,Belgium,ECR,kris.vandijck@europarl.europa.eu,N/A,N/A,N/A,"Conservative policies, Flemish interests",BUDG; CONT,2024-12-15,
Maciej WĄSIK,Poland,ECR,maciej.wasik@europarl.europa.eu,N/A,N/A,N/A,"Security, justice, budgetary matters",CONT; LIBE,2024-12-15,
Tomáš ZDECHOVSKÝ,Czechia,EPP,tomas.zdechovsky@europarl.europa.eu,N/A,N/A,N/A,"Rule of law, migration, security, media, internal market, consumer protection, data protection",CONT; LIBE; EUDS; IMCO,2024-12-15,
